"19413","Falwell Aviation Inc.: FAA"
"19414","Falcon Airways Inc.: FAC"
"19415","Pinehurst Airlines Inc.: PHR"
"19416","Great Western Airlines Inc.: ROS"
"19417","Air Freight Express: RRT"
"19418","S. S. Airways Inc.: SSA"
"19419","Aero Union Corp: XAA"
"19420","Air Express International Airlines: XAC"
"19421","Central American International: XAJ"
"19422","Michigan Peninsula Airways: XAT"
"19423","WTC Airlines: XBF"
"19424","Profit Airlines Inc.: XBH"
"19425","CF Air Freight: XBI"
"19426","International Air Service: XBJ"
"19427","Aeronaves De Puerto Rico: XBQ"
"19428","Allstates Air Cargo Inc.: XBR"
"19429","Cam Air International Inc.: XAQ"
"19430","Purolator Sky Courier Inc.: XAZ"
"19431","Circle Airfreight Corp.: XBP"
"19432","Pacific Alaska Airlines Inc.: XBT"
"19433","Icb International Airlines: XBX"
"19434","Cohlmia Aviation: XAM"
"19435","Amerford Airways Inc.: XAE"
"19436","Astro-Wing Airlines Inc.: XAF"
"19437","Ball Brothers Inc.: XAG"
"19438","Burlington Northern Inc.: XAI"
"19439","Century Airlines Inc.: XAK"
"19440","Dallas Flight Center: XAO"
"19441","Jet Way Inc.: XAR"
"19442","Klondike Air Inc.: XAS"
"19443","Pat Air: XAY"
"19444","Phh Air Inc.: XBM"
"19445","Flight Line Inc.: XAU"
"19446","Viking International Airlines Inc.: CGL"
"19447","Capitol International Inc.: CL"
"19448","Air Caravane Inc.: AEQ"
"19449","Argo S. A.: AGQ"
"19450","Norontair: AIQ"
"19451","Alberta Northern Airlines: ALQ"
"19452","Aviacion Y Comercio S.A.: AO"
"19453","Air Bvi Limited: BLQ"
"19454","Spantax S. A.: BXQ"
"19455","Dan Air Services: DA"
"19456","Maersk Air I/S: DM"
"19457","Aerolineas Dominicanas S A: DOQ"
"19458","Caribwest Airways Ltd.: DQQ"
"19459","Execaire Aviation Ltd.: EBQ"
"19460","Aero Trades (Western) Ltd.: ERQ"
"19461","Fast Air Carrier Ltd. (1): FAQ"
"19462","Business Flights Ltd.: HIQ"
"19463","Tar Airlines: HRQ"
"19464","Transavia Holland B. V.: HVQ"
"19465","Iscargo Hf: ICQ"
"19466","Tradewinds Airways Ltd.: IKQ"
"19467","Aerlinte Eireann Teoranta: IN"
"19468","Iran National Airlines Corp: IR"
"19469","Inair: IXQ"
"19470","Allarco Developments Ltd.: JXQ"
"19471","Transmeridian Air Cargo Ltd.: KKQ"
"19472","Kelowna Flightcraft Air Cha: KWQ"
"19473","Liat (1974) Limited: LIQ"
"19474","Millardair Limited: MAQ"
"19475","Montana Austria Flugetrieb: MGQ"
"19476","P.N. Merpati Nusantara Air.: MZ"
"19477","North Cariboo Flying Serv.: NFQ"
"19478","Norcanair: NKQ"
"19479","Northward Airlines Ltd.: NN"
"19480","North Coast Air Services: NSQ"
"19481","National Aviation Consult.: NTQ"
"19482","Air Niugini: NUQ"
"19483","Nunasi-Central Airlines Ltd.: ONQ"
"19484","Ontario Worldair Limited: OWQ"
"19485","Pem-Air Limited: PD (1)"
"19486","Eastern Provincial Airways: PV"
"19487","Pacific Western Airlines: PW"
"19488","Inter-Quebec (Intair): QB"
"19489","Syrian Arab Airlines: RB"
"19490","Aerotransportes Entre Rios: RSQ"
"19491","Redcoat Air Cargo Limited: RY"
"19492","Skycharter (Malton) Ltd.: SJQ"
"19493","Superior Airways Limited: SSQ"
"19494","Belize Airways Limited: ST"
"19495","Skycraft Air Transport Inc.: STQ"
"19496","Trans-Mediterranean Airways: TLQ"
"19497","British Caribbean Airways: TXQ"
"19498","Air Manila Inc.: UMQ"
"19499","Avalon Aviation Ltd.: VOQ"
"19500","Wardair Canada Inc.: WDQ"
"19501","Gateway Aviation Limited: WGQ"
"19502","Windward Islands Airways: WM"
"19503","Nal Inc.: XBV"
"19504","Yellow Bird Air: YBQ"
"19505","Air Europe Limited: AE"
"19506","Intair: ND"
"19507","Yugoslav Airlines: JU"
"19508","Union De Transports Aeriens: UT"
"19509","Air Haiti S. A.: HJ"
"19510","Servicio Aereo De Honduras: SH"
"19511","Sterling Airways A/S: NBQ"
"19512","Aerolineas El Salvador S A: SZQ"
"19513","Transp. Aereos Bolivianos: BOQ"
"19514","Aeronaves Del Peru: ADQ"
"19515","Compania Dominicana De Avia: DO"
"19516","Nigeria Airways Ltd.: WT"
"19517","Lineas Aereas Paraguayas: PZ"
"19518","Lufthansa Cargo Airlines: GE"
"19519","Venezuelan International Airways: VA (1)"
"19520","Andes: ED"
"19521","Compan. De Aviacion Faucett: CF"
"19522","Aviateca: GU"
